"x0","y0","color","pen down?","x1","y1","color","pen down?"
"0","0.491943359375","55","true","0","0","5","true"
"1","0.44287109375","55","true","1","0","5","true"
"2","0.432373046875","55","true","2","0","5","true"
"3","0.413330078125","55","true","3","0","5","true"
"4","0.409912109375","55","true","4","0","5","true"
"5","0.406005859375","55","true","5","0","5","true"
"6","0.3935546875","55","true","6","0","5","true"
"7","0.39599609375","55","true","7","0","5","true"
"8","0.398193359375","55","true","8","0","5","true"
"9","0.39599609375","55","true","9","0","5","true"
"10","0.39013671875","55","true","10","0","5","true"
"11","0.394775390625","55","true","11","0","5","true"
"12","0.391357421875","55","true","12","0","5","true"
"13","0.401611328125","55","true","13","0","5","true"
"14","0.39892578125","55","true","14","0","5","true"
"15","0.401611328125","55","true","15","0","5","true"
"16","0.406982421875","55","true","16","0","5","true"
"17","0.408935546875","55","true","17","0","5","true"
"18","0.40087890625","55","true","18","0","5","true"
"19","0.400634765625","55","true","19","0","5","true"
"20","0.4052734375","55","true","20","0","5","true"
"21","0.40234375","55","true","21","0","5","true"
"22","0.406005859375","55","true","22","0","5","true"
"23","0.41357421875","55","true","23","0","5","true"
"24","0.425048828125","55","true","24","0","5","true"
"25","0.43115234375","55","true","25","0","5","true"
"26","0.431396484375","55","true","26","0","5","true"
"27","0.427734375","55","true","27","0","5","true"
"28","0.437255859375","55","true","28","0","5","true"
"29","0.441162109375","55","true","29","0","5","true"
"30","0.43994140625","55","true","30","0","5","true"
"31","0.442626953125","55","true","31","0","5","true"
"32","0.435791015625","55","true","32","0","5","true"
"33","0.43115234375","55","true","33","0","5","true"
"34","0.424560546875","55","true","34","0","5","true"
"35","0.427490234375","55","true","35","0","5","true"
"36","0.432373046875","55","true","36","0","5","true"
"37","0.42724609375","55","true","37","0","5","true"
"38","0.432373046875","55","true","38","0","5","true"
"39","0.432373046875","55","true","39","0","5","true"
"40","0.4287109375","55","true","40","0","5","true"
"41","0.429931640625","55","true","41","0","5","true"
"42","0.431640625","55","true","42","0","5","true"
"43","0.435302734375","55","true","43","0","5","true"
"44","0.4267578125","55","true","44","0","5","true"
"45","0.426025390625","55","true","45","0","5","true"
"46","0.435546875","55","true","46","0","5","true"
"47","0.425537109375","55","true","47","0","5","true"
"48","0.42138671875","55","true","48","0","5","true"
"49","0.418212890625","55","true","49","0","5","true"
"50","0.419189453125","55","true","50","0","5","true"
"51","0.415771484375","55","true","51","0","5","true"
"52","0.4111328125","55","true","52","0","5","true"
"53","0.404296875","55","true","53","0","5","true"
"54","0.406494140625","55","true","54","0","5","true"
"55","0.412109375","55","true","55","0","5","true"
"56","0.413818359375","55","true","56","0","5","true"
"57","0.413818359375","55","true","57","0","5","true"
"58","0.40576171875","55","true","58","0","5","true"
"59","0.41015625","55","true","59","0","5","true"
"60","0.407958984375","55","true","60","0","5","true"
"61","0.40283203125","55","true","61","0","5","true"
"62","0.39306640625","55","true","62","0","5","true"
"63","0.400634765625","55","true","63","0","5","true"
"64","0.4130859375","55","true","64","0","5","true"
"65","0.412109375","55","true","65","0","5","true"
"66","0.4130859375","55","true","66","0","5","true"
"67","0.408447265625","55","true","67","0","5","true"
"68","0.4013671875","55","true","68","0","5","true"
"69","0.39892578125","55","true","69","0","5","true"
"70","0.402099609375","55","true","70","0","5","true"
"71","0.388427734375","55","true","71","0","5","true"
"72","0.40283203125","55","true","72","0","5","true"
"73","0.408203125","55","true","73","0","5","true"
"74","0.400390625","55","true","74","0","5","true"
"75","0.392822265625","55","true","75","0","5","true"
"76","0.386962890625","55","true","76","0","5","true"
"77","0.39208984375","55","true","77","0","5","true"
"78","0.389404296875","55","true","78","0","5","true"
"79","0.38720703125","55","true","79","0","5","true"
"80","0.395263671875","55","true","80","0","5","true"
"81","0.400146484375","55","true","81","0","5","true"
"82","0.408203125","55","true","82","0","5","true"
"83","0.40283203125","55","true","83","0","5","true"
"84","0.408447265625","55","true","84","0","5","true"
"85","0.409912109375","55","true","85","0","5","true"
"86","0.411376953125","55","true","86","0","5","true"
"87","0.40673828125","55","true","87","0","5","true"
"88","0.404296875","55","true","88","0","5","true"
"89","0.404541015625","55","true","89","0","5","true"
"90","0.4033203125","55","true","90","0","5","true"
"91","0.4091796875","55","true","91","0","5","true"
"92","0.40869140625","55","true","92","0","5","true"
"93","0.40087890625","55","true","93","0","5","true"
"94","0.39501953125","55","true","94","0","5","true"
"95","0.381591796875","55","true","95","0","5","true"
"96","0.367919921875","55","true","96","0","5","true"
"97","0.369140625","55","true","97","0","5","true"
"98","0.365478515625","55","true","98","0","5","true"
"99","0.365478515625","55","true","99","0","5","true"
"100","0.371337890625","55","true","100","0","5","true"
"101","0.36767578125","55","true","101","0","5","true"
"102","0.3603515625","55","true","102","0","5","true"
"103","0.359130859375","55","true","103","0","5","true"
"104","0.358154296875","55","true","104","0","5","true"
"105","0.3525390625","55","true","105","0","5","true"
"106","0.351318359375","55","true","106","0","5","true"
"107","0.355224609375","55","true","107","0","5","true"
"108","0.361083984375","55","true","108","0","5","true"
"109","0.3564453125","55","true","109","0","5","true"
"110","0.36328125","55","true","110","0","5","true"
"111","0.378662109375","55","true","111","0","5","true"
"112","0.370849609375","55","true","112","0","5","true"
"113","0.365478515625","55","true","113","0","5","true"
"114","0.361083984375","55","true","114","0","5","true"
