"x0","y0","color","pen down?","x1","y1","color","pen down?"
"0","0.486083984375","55","true","0","0","5","true"
"1","0.4814453125","55","true","1","0","5","true"
"2","0.48486328125","55","true","2","0","5","true"
"3","0.496337890625","55","true","3","0","5","true"
"4","0.5205078125","55","true","4","0","5","true"
"5","0.536865234375","55","true","5","0","5","true"
"6","0.550537109375","55","true","6","0","5","true"
"7","0.573486328125","55","true","7","0","5","true"
"8","0.583984375","55","true","8","0","5","true"
"9","0.60498046875","55","true","9","0","5","true"
"10","0.614990234375","55","true","10","0","5","true"
"11","0.628173828125","55","true","11","0","5","true"
"12","0.649169921875","55","true","12","0","5","true"
"13","0.660400390625","55","true","13","0","5","true"
"14","0.67333984375","55","true","14","0","5","true"
"15","0.681396484375","55","true","15","0","5","true"
"16","0.6982421875","55","true","16","0","5","true"
"17","0.708984375","55","true","17","0","5","true"
"18","0.720947265625","55","true","18","0","5","true"
"19","0.723388671875","55","true","19","0","5","true"
"20","0.734619140625","55","true","20","0","5","true"
"21","0.743896484375","55","true","21","0","5","true"
"22","0.743408203125","55","true","22","0","5","true"
"23","0.74609375","55","true","23","0","5","true"
"24","0.752685546875","55","true","24","0","5","true"
"25","0.754638671875","55","true","25","0","5","true"
"26","0.76171875","55","true","26","0","5","true"
"27","0.75927734375","55","true","27","0","5","true"
"28","0.764892578125","55","true","28","0","5","true"
"29","0.767333984375","55","true","29","0","5","true"
"30","0.771240234375","55","true","30","0","5","true"
"31","0.77783203125","55","true","31","0","5","true"
"32","0.79052734375","55","true","32","0","5","true"
"33","0.801513671875","55","true","33","0","5","true"
"34","0.80615234375","55","true","34","0","5","true"
"35","0.81689453125","55","true","35","0","5","true"
"36","0.815185546875","55","true","36","0","5","true"
"37","0.82958984375","55","true","37","0","5","true"
"38","0.833984375","55","true","38","0","5","true"
"39","0.83447265625","55","true","39","0","5","true"
"40","0.84033203125","55","true","40","0","5","true"
"41","0.838134765625","55","true","41","0","5","true"
"42","0.84130859375","55","true","42","0","5","true"
"43","0.854248046875","55","true","43","0","5","true"
"44","0.855712890625","55","true","44","0","5","true"
"45","0.856201171875","55","true","45","0","5","true"
"46","0.8544921875","55","true","46","0","5","true"
"47","0.865966796875","55","true","47","0","5","true"
"48","0.865966796875","55","true","48","0","5","true"
"49","0.866455078125","55","true","49","0","5","true"
"50","0.875","55","true","50","0","5","true"
"51","0.874267578125","55","true","51","0","5","true"
"52","0.878173828125","55","true","52","0","5","true"
"53","0.88134765625","55","true","53","0","5","true"
"54","0.884521484375","55","true","54","0","5","true"
"55","0.892333984375","55","true","55","0","5","true"
"56","0.899658203125","55","true","56","0","5","true"
"57","0.894287109375","55","true","57","0","5","true"
